r,fck,n,fy,As,fyw,ρw,fsw,ρsw,Vf/Vs,Failure mode
2.21 ,24.0 ,0.04 ,480,180,480,1.17,510,0.64,0.33 ,F
2.21 ,34.7 ,0.03 ,480,180,480,2.8,510,1.28,0.31 ,FS
2.50 ,16.9 ,0.21 ,469.2,314,445.6,0.72,608.9,0.44,0.48 ,F
2.50 ,16.9 ,0.34 ,469.2,314,445.6,0.72,608.9,0.44,0.47 ,F
2.50 ,16.9 ,0.48 ,469.2,314,445.6,0.72,608.9,0.44,0.41 ,F
2.26 ,38.1 ,0.05 ,547.3,471,583.6,0.3,583.6,0.25,0.42 ,F
2.26 ,34.3 ,0.06 ,583.1,471,484.9,0.3,484.9,0.25,0.47 ,FS
2.26 ,33.2 ,0.06 ,601,678.2,569.2,0.54,489,0.25,0.65 ,FS
2.26 ,34.7 ,0.06 ,576,678.2,583.7,0.54,518.9,0.25,0.62 ,FS
2.26 ,32.5 ,0.12 ,583,301,583.7,0.27,518.9,0.25,0.53 ,F
2.26 ,38.6 ,0.11 ,576,478.2,583.7,0.54,518.9,0.25,0.64 ,FS
2.50 ,23.2 ,0.15 ,469.2,314,445.6,0.72,608.9,0.44,0.50 ,FS
2.50 ,23.2 ,0.15 ,469.2,257.5,445.6,0.67,523.9,0.46,0.55 ,FS
2.50 ,23.2 ,0.15 ,469.2,314,445.6,0.72,608.9,0.44,0.50 ,FS
2.50 ,23.2 ,0.15 ,469.2,201,445.6,1.34,608.9,0.44,0.48 ,FS
2.50 ,23.2 ,0.15 ,445.6,314,445.6,0.72,608.9,0.44,0.49 ,FS
2.50 ,23.2 ,0.15 ,469.2,314,445.6,0.72,608.9,0.64,0.37 ,FS
2.50 ,23.2 ,0.15 ,469.2,314,445.6,0.72,608.9,0.56,0.41 ,FS
2.20 ,22.9 ,0.09 ,450,452.2,486,0.6,486,0.35,0.64 ,FS
3.00 ,18.3 ,0.00 ,276,113,216,0.28,216,0.28,0.43 ,F
3.00 ,18.3 ,0.00 ,276,113,216,0.28,216,0.28,0.43 ,F
3.00 ,19.0 ,0.00 ,276,113,216,0.28,216,0.28,0.42 ,F
3.00 ,19.9 ,0.00 ,276,113,216,0.28,216,0.28,0.41 ,F
2.00 ,20.7 ,0.10 ,379,471,392,0.36,392,0.36,0.59 ,FS
2.00 ,20.7 ,0.20 ,379,471,392,0.36,392,0.36,0.67 ,FS
2.00 ,20.7 ,0.30 ,379,471,392,0.36,392,0.36,0.71 ,FS
2.00 ,20.7 ,0.40 ,379,471,392,0.36,392,0.36,0.72 ,FS
1.00 ,30.8 ,0.30 ,379,471,392,0.36,392,0.36,1.18 ,FS
1.50 ,30.8 ,0.30 ,379,471,392,0.36,392,0.36,0.78 ,FS
2.00 ,30.8 ,0.30 ,379,471,392,0.36,392,0.36,0.75 ,FS
2.50 ,30.8 ,0.30 ,379,471,392,0.36,392,0.36,0.65 ,FS
2.00 ,30.8 ,0.30 ,343,471,392,0.36,392,0.36,0.73 ,FS
2.00 ,30.8 ,0.30 ,379,471,392,0.36,392,0.36,0.75 ,FS
2.00 ,30.8 ,0.20 ,325,471,392,0.36,392,0.36,0.67 ,FS
2.00 ,30.8 ,0.30 ,379,301,392,0.36,392,0.36,0.68 ,FS
2.00 ,30.8 ,0.30 ,379,471,392,0.36,392,0.36,0.75 ,FS
